RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,52,,MEMBERS
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,35946,,MINUTES
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,114146,,DOLLARS
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,18,,MEMBERS
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,7882,,MINUTES
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,34681,,DOLLARS
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,12,,MEMBERS
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,281,,HOURS
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,44380,,DOLLARS
6/30/2020,FY1920,Humboldt,ICC,57,,MEMBERS
6/30/2020,FY1920,Humboldt,ICC,50435,,MINUTES
6/30/2020,FY1920,Humboldt,ICC,163291,,DOLLARS
6/30/2020,FY1920,Humboldt,IHBS,42,,MEMBERS
6/30/2020,FY1920,Humboldt,IHBS,367131,,MINUTES
6/30/2020,FY1920,Humboldt,IHBS,944897,,DOLLARS
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,49,,MEMBERS
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,25805,,MINUTES
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,179029,,DOLLARS
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,89,,MEMBERS
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,242080,,MINUTES
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,851322,,DOLLARS
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,MEMBERS
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,DAYS
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,DOLLARS
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MEMBERS
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,DOLLARS
