분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
A 장내발효_4 양(산양),17.8,25,37.1,49.2,58.2,64.5,68.6,68.6,63.6,57.7,52.3,48.8,46.7,47.9,50.9,53.6,53.1,47.7,38.7,31.1,26.6,26,26.2,26.2,26.3,27.2,30.9,35.9,45,52.8
A 장내발효_5 낙타 및 라마, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
A 장내발효_6 말,1.6,1.9,2,2,2,2.1,2.3,2.6,2.9,3.1,3.5,4,4.7,5.4,6.2,7,7.8,8.6,9.6,10.3,11,11.2,11.4,11.2,10.7,9.1,8.9,9.1,10.5,10.5
A 장내발효_7 노새 및 당나귀, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
A 장내발효_8 돼지,139,151.5,169,178.6,185.3,196.1,204.1,214.2,238.1,239.4,256.7,268.4,279.7,288.2,283.3,280.2,289.7,299.8,287.5,292.8,309.3,238.8,300.3,318.1,310.5,319,328.4,354,357.8,358.4
A 장내발효_9 가금류, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
A 장내발효_10 기타 가축(사슴),4.8,5.6,6.5,7.3,8.3,9.3,10.5,11.9,13.2,14.2,15,15.7,16.1,15.9,15.3,14.3,13.1,11.7,10,8.8,7.7,6.7,5.8,5,4.5,4,3.6,3.3,3.1,2.9
B 가축분뇨처리,2845.7,3060.7,3325.1,3637.7,3851.1,4053.4,4312.8,4387.2,4331.5,4006.5,3871.2,3775.4,3811.1,3809.7,3878.7,4029.4,4174.7,4315.1,4357.6,4552.6,4803,4521.8,4675.6,4739.3,4706.8,4591.8,4503.6,4662.3,4936.1,4897.5
B 가축분뇨처리_1 소,1820.2,1912.8,2045.6,2275.2,2413,2496.6,2687.5,2701.7,2580.8,2209.8,1984.5,1824.9,1795.1,1780.1,1857.7,1918.4,2015.3,2119.2,2253.3,2368.7,2533.1,2551.9,2615.5,2637.8,2699.6,2509.6,2403.7,2430.6,2516,2579.1
B 가축분뇨처리_2 물소, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
B 가축분뇨처리_3 양(면양),0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3
B 가축분뇨처리_4 양(산양),66.3,93.5,138.4,183.6,217.2,240.7,256,256.1,237.5,215.3,195.1,182.3,174.3,178.7,190,200.2,198.1,178,144.5,116.1,99.3,96.9,97.8,97.7,98.1,101.6,115.5,134.1,167.9,197.1
B 가축분뇨처리_5 낙타 및 라마, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
B 가축분뇨처리_6 말,1.8,2.1,2.2,2.2,2.2,2.3,2.6,2.8,3.1,3.4,3.8,4.3,5.1,5.9,6.8,7.6,8.5,9.4,10.4,11.2,12,12.3,12.4,12.3,11.7,9.9,9.7,10,11.5,11.5
B 가축분뇨처리_7 노새 및 당나귀, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
B 가축분뇨처리_8 돼지,590.2,643.4,717.8,758.5,787.1,832.8,866.7,909.5,1011,1016.6,1090.2,1139.7,1187.8,1223.8,1203.1,1189.9,1230.4,1273.2,1220.8,1243.6,1313.5,1014,1175.8,1200.8,1146.4,1165.8,1187.9,1374.9,1399.8,1277
B 가축분뇨처리_9 가금류,349,387.7,396.6,390.5,400.4,446,460.7,472.6,449.8,508.3,541.5,565.6,588.6,561.7,564,659.8,673.3,691.5,690.9,779.8,816.1,821.3,752,771.9,733.9,789.8,773.1,700,829.3,821.9
B 가축분뇨처리_10 기타 가축(사슴),17.8,20.9,24.1,27.3,30.9,34.8,39.2,44.4,49.2,53,56,58.5,60.1,59.4,57.1,53.4,48.9,43.6,37.5,32.9,28.6,25,21.5,18.5,16.7,14.9,13.5,12.4,11.4,10.7
C 벼재배,10533,10370.6,10079.3,9784.9,9494.9,9228.7,8997.8,8869.1,8885.6,8920.6,8945.7,8962.9,8924.7,8788.7,8590,8395.3,8249.4,8144.3,8047,7981.7,7835.7,7561.8,7276.2,7015.3,6893,6792.9,6726.6,6549.8,6251.2,5913.5
C 벼재배_1 관개,10480.8,10319.3,10029.6,9736.7,9448.2,9183.3,8953.5,8825.5,8841.9,8876.8,8901.7,8918.9,8880.8,8745.5,8547.8,8354.1,8208.9,8104.4,8007.6,7942.6,7797.3,7522.9,7233.9,6974.1,6855.9,6761.8,6695.4,6518.5,6221.5,5888.1
C 벼재배_2 천수답,52.2,51.3,49.7,48.2,46.7,45.4,44.2,43.6,43.7,43.8,43.9,44,43.8,43.2,42.1,41.2,40.4,39.9,39.4,39.1,38.4,38.9,42.3,41.1,37.1,31.1,31.2,31.3,29.7,25.3
D 농경지토양,4605.6,4658.6,4852.9,4927.7,5221.2,5402.2,5575.4,5602.3,5535.6,5279.1,5152.8,4968.3,4870.4,4764.8,4868.6,4988.2,4934.3,4958.8,4903,5105.3,5150.6,4798.5,5112.6,5213.9,5265.7,5243.7,5246.2,5331.4,5462.4,5549.3
D 농경지토양_1 직접배출,2427.2,2461,2576.1,2627.1,2794.8,2901,3003.3,3020.5,2981.3,2832.1,2760.7,2659.9,2611.2,2554.9,2617.2,2689.9,2672.6,2692.4,2668.6,2785,2819.5,2625.5,2809.3,2871.8,2902.2,2890.3,2891,2939.8,3012.9,3063.3
D 농경지토양_2 목장 방목구역 분료(거름), NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
D 농경지토양_3 간접배출,2178.4,2197.6,2276.8,2300.6,2426.5,2501.3,2572.1,2581.8,2554.2,2447,2392.1,2308.4,2259.2,2209.9,2251.4,2298.3,2261.7,2266.5,2234.4,2320.4,2331.1,2173,2303.3,2342.2,2363.5,2353.4,2355.2,2391.6,2449.5,2486
E 사바나 소각, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
F 작물잔사소각,27.2,23.8,21.8,19.8,19,20.2,22.2,23.3,22,21.9,22.3,23.6,22.9,21.1,20.3,20.9,21.4,20.9,20.1,19.9,18.6,16.9,15.9,16.1,16.4,16,15.1,14.6,14.9,15.8
F 작물잔사소각_1 곡류,5.9,5,4.3,3.9,3.5,3.5,3.5,3.4,2.9,2.7,2.5,2.8,2.7,2.8,2.5,2.5,2.4,2.3,2.2,2.4,2.4,2.4,2.3,2,1.8,1.7,2,2.1,2.1,1.6
